penalty,alpha,l1_ratio,learning_rate,test_r2,test_rmse,test_mae
elasticnet,1.0,0.5,invscaling,0.7173765854172574,0.8022486069039894,0.6015481982321325
elasticnet,1.0,0.85,invscaling,0.5448279217124412,1.0181053243218507,0.7831835441067009
elasticnet,1.0,0.85,adaptive,0.5178889800646467,1.04780008981361,0.8078229492628358
elasticnet,1.0,0.85,constant,0.4976558038418515,1.0695610934299866,0.8168529025756821
l1,1.0,0.15,invscaling,0.4010147362620352,1.1679196651730557,0.908136630753327
l1,1.0,0.85,invscaling,0.4010147362620352,1.1679196651730557,0.908136630753327
l1,1.0,0.5,invscaling,0.4010147362620352,1.1679196651730557,0.908136630753327
l1,1.0,0.5,adaptive,0.3932135736039347,1.175500533761989,0.9143598550713581
l1,1.0,0.15,adaptive,0.3932135736039347,1.175500533761989,0.9143598550713581
l1,1.0,0.85,adaptive,0.3932135736039347,1.175500533761989,0.9143598550713581
l1,1.0,0.85,constant,0.3803909952247707,1.1878559089934706,0.9146553176347949
l1,1.0,0.15,constant,0.3803909952247707,1.1878559089934706,0.9146553176347949
l1,1.0,0.5,constant,0.3803909952247707,1.1878559089934706,0.9146553176347949
